exdate,uncnt,emgcnt
24-Mar-99,,
25-Mar-99,,
26-Mar-99,,
27-Mar-99,2800,
28-Mar-99,21647,
29-Mar-99,40053,
30-Mar-99,20000,
31-Mar-99,11100,
1-Apr-99,20800,
2-Apr-99,31251,
3-Apr-99,18577,
4-Apr-99,21808,
5-Apr-99,24111,
6-Apr-99,23418,
7-Apr-99,2877,
8-Apr-99,16,
9-Apr-99,1459,
10-Apr-99,4265,
11-Apr-99,38,
12-Apr-99,104,
13-Apr-99,3309,3249
14-Apr-99,3600,2492
15-Apr-99,3254,3423
16-Apr-99,10700,14111
17-Apr-99,23215,21000
18-Apr-99,5829,5000
19-Apr-99,105,8000
20-Apr-99,15,6900
21-Apr-99,133,4516
22-Apr-99,924,
23-Apr-99,192,800
24-Apr-99,92,192
25-Apr-99,13,10
26-Apr-99,459,
27-Apr-99,1791,580
28-Apr-99,2602,586
29-Apr-99,,2900
30-Apr-99,,13000
1-May-99,,
2-May-99,,3143
3-May-99,,1887
4-May-99,,6585
5-May-99,,1489
6-May-99,,70
7-May-99,,569
8-May-99,,10000
9-May-99,,8377
10-May-99,,3762
11-May-99,,267
12-May-99,,3811
13-May-99,,11
14-May-99,,15
15-May-99,,21
16-May-99,,0
17-May-99,,19
18-May-99,,1
19-May-99,,13
20-May-99,,8
21-May-99,,3700
22-May-99,,671
23-May-99,,1500
24-May-99,,900
25-May-99,,220
26-May-99,,1049
27-May-99,,1000
28-May-99,,580
29-May-99,,
