ngrp,lvdate,exdate,mcode,id
1,6-May-99,22-May-99,3,1
1,17-Mar-99,4-Apr-99,3,2
1,16-Apr-99,17-Apr-99,13,3
1,30-Mar-99,2-Apr-99,24,4
1,30-Mar-99,3-Apr-99,24,5
1,31-Mar-99,1-Apr-99,24,6
1,25-Mar-99,25-Mar-99,16,7
1,25-Mar-99,25-Mar-99,16,8
1,25-Mar-99,3-Apr-99,16,9
1,25-Mar-99,31-Mar-99,16,10
1,1-Apr-99,2-Apr-99,4,11
1,1-Apr-99,6-Apr-99,4,12
1,1-Apr-99,8-Apr-99,4,13
1,2-Apr-99,2-Apr-99,4,14
1,1-Apr-99,2-Apr-99,4,15
520,2-May-99,22-May-99,18,16
1,29-May-99,2-Jun-99,10,17
1,2-Apr-99,3-Apr-99,2,18
500,2-Apr-99,30-May-99,24,19
1,28-Mar-99,13-Apr-99,24,20
500,2-Apr-99,30-May-99,24,21
1,1-Apr-99,9-May-99,21,22
1,17-May-99,5-Jun-99,28,23
1,27-Mar-99,27-Mar-99,16,24
1,30-Mar-99,5-Apr-99,1,25
1,3-Apr-99,7-Apr-99,24,26
1,3-Apr-99,6-Apr-99,24,27
1,4-Apr-99,4-Apr-99,2,28
1,28-Mar-99,1-Apr-99,2,29
1,5-Apr-99,5-Apr-99,24,30
1,20-Aug-98,2-Apr-99,24,31
1,2-Apr-99,9-Apr-99,8,32
1,21-May-99,21-May-99,12,33
1,4-Jun-99,4-Jun-99,16,34
1,1-Apr-99,13-Apr-99,2,35
1,4-Apr-99,7-Apr-99,2,36
1,2-Jun-99,2-Jun-99,26,37
1,28-Mar-99,22-Apr-99,21,38
1,28-Mar-99,25-May-99,21,39
100,27-Mar-99,25-Apr-99,21,40
1,27-Mar-99,15-Apr-99,21,41
1,7-Apr-99,13-Apr-99,8,42
57,2-May-99,22-May-99,11,43
1,1-Apr-99,6-Apr-99,8,44
1,11-Apr-99,17-Apr-99,15,45
1,8-Apr-99,10-Apr-99,9,46
1,10-Apr-99,3-May-99,11,47
1,17-Apr-99,19-Apr-99,11,48
22,13-Apr-99,16-Apr-99,11,49
1,30-Mar-99,15-Apr-99,11,50
25,15-Apr-99,15-Apr-99,11,51
1,25-Mar-99,19-Apr-99,11,52
1,23-Mar-99,15-Apr-99,11,53
1,16-Apr-99,17-Apr-99,11,54
1,15-Apr-99,10-May-99,11,55
1,3-Apr-99,22-May-99,11,56
1,31-Mar-99,1-Apr-99,20,57
1,4-Apr-99,10-Apr-99,19,58
1,28-Mar-99,2-May-99,24,59
1,29-Mar-99,30-Mar-99,13,60
1,2-Apr-99,17-Apr-99,13,61
1,16-Apr-99,16-Apr-99,13,62
1,27-Mar-99,30-Mar-99,20,63
1,28-Mar-99,30-Mar-99,20,64
1,29-Mar-99,1-Apr-99,16,65
1,29-Mar-99,1-Apr-99,16,66
1,1-Apr-99,5-Apr-99,16,67
1,14-Apr-99,17-Apr-99,11,68
1,27-Mar-99,15-Apr-99,11,69
1,27-Mar-99,15-Apr-99,11,70
16,11-Apr-99,3-May-99,11,71
1,16-Apr-99,17-Apr-99,11,72
1,1-Jun-99,6-Jun-99,11,73
1,1-Apr-99,30-May-99,11,74
1,1-Apr-99,30-May-99,11,75
1,4-Apr-99,8-Apr-99,24,76
1,22-Mar-99,1-Apr-99,16,77
20,25-Apr-99,9-May-99,15,78
1,15-Jul-98,17-Apr-99,16,79
1,27-Mar-99,27-Mar-99,17,80
1,23-Aug-98,1-May-99,22,81
1,3-Apr-99,4-Apr-99,1,82
1,2-Jun-99,2-Jun-99,21,83
1,23-May-99,23-May-99,20,84
1,26-May-99,4-Jun-99,20,85
1,26-May-99,26-May-99,20,86
1,1-May-99,1-May-99,20,87
1,1-May-99,1-May-99,20,88
1,24-Apr-99,27-May-99,20,89
1,13-Apr-99,13-Apr-99,20,90
1,23-May-99,23-May-99,20,91
1,15-Aug-98,15-Apr-99,18,92
1,28-Mar-99,21-May-99,20,93
1,10-Apr-98,10-Apr-99,16,94
1,3-May-99,22-May-99,1,95
1,28-Mar-99,10-Apr-99,1,96
1,28-Feb-99,6-Mar-99,21,97
1,5-Apr-99,5-Apr-99,24,98
1,2-Jun-99,2-Jun-99,24,99
1,2-Jun-99,2-Jun-99,24,100
1,13-Apr-99,13-Apr-99,11,101
1,27-Mar-99,27-Apr-99,2,102
1,1-Jun-99,3-Jun-99,27,103
1,15-Apr-99,20-Apr-99,11,104
1,15-Mar-99,13-Apr-99,9,105
1,14-Mar-99,10-May-99,25,106
1,2-Jun-99,2-Jun-99,24,107
1,1-Apr-99,12-Apr-99,9,108
130,24-Mar-99,5-Jun-99,27,109
1,27-Mar-99,27-Mar-99,24,110
1,27-Mar-99,27-Mar-99,24,111
1,25-Mar-99,11-Apr-99,24,112
1,3-Apr-99,7-Apr-99,24,113
1,8-Apr-99,11-Apr-99,24,114
1,24-Apr-99,28-May-99,20,115
40,3-May-99,22-May-99,25,116
1,1-Apr-99,21-May-99,13,117
1,28-Mar-99,30-Apr-99,27,118
1,28-Mar-99,30-Apr-99,27,119
1,5-Apr-99,15-Apr-99,27,120
1,20-Mar-99,10-Apr-99,16,121
1,4-May-99,4-May-99,16,122
1,5-May-99,5-May-99,16,123
