date,mcode
25-Mar-99,19
28-Mar-99,20
28-Mar-99,20
29-Mar-99,"2	"
29-Mar-99,"4	"
29-Mar-99,11
29-Mar-99,17
29-Mar-99,19
29-Mar-99,20
30-Mar-99,"4	"
30-Mar-99,19
31-Mar-99,"4	"
31-Mar-99,13
31-Mar-99,15
31-Mar-99,19
31-Mar-99,26
1-Apr-99,17
1-Apr-99,19
2-Apr-99,11
2-Apr-99,16
5-Apr-99,"2	"
6-Apr-99,19
6-Apr-99,20
7-Apr-99,19
7-Apr-99,20
8-Apr-99,16
8-Apr-99,20
11-Apr-99,"6	"
11-Apr-99,"9	"
11-Apr-99,17
11-Apr-99,18
11-Apr-99,19
12-Apr-99,"2	"
12-Apr-99,"9	"
12-Apr-99,19
12-Apr-99,20
12-Apr-99,21
12-Apr-99,24
12-Apr-99,25
14-Apr-99,"2	"
14-Apr-99,19
14-Apr-99,19
15-Apr-99,11
15-Apr-99,12
15-Apr-99,17
15-Apr-99,19
15-Apr-99,19
16-Apr-99,"4	"
16-Apr-99,"8	"
16-Apr-99,19
16-Apr-99,25
17-Apr-99,25
18-Apr-99,19
18-Apr-99,19
18-Apr-99,25
19-Apr-99,25
20-Apr-99,19
21-Apr-99,"2	"
22-Apr-99,15
22-Apr-99,19
23-Apr-99,19
24-Apr-99,19
25-Apr-99,"2	"
25-Apr-99,12
25-Apr-99,19
26-Apr-99,19
26-Apr-99,24
27-Apr-99,"2	"
27-Apr-99,"9	"
27-Apr-99,11
27-Apr-99,15
27-Apr-99,19
27-Apr-99,20
27-Apr-99,28
28-Apr-99,11
28-Apr-99,19
28-Apr-99,20
29-Apr-99,"3	"
29-Apr-99,18
30-Apr-99,"3	"
30-Apr-99,19
1-May-99,"6	"
1-May-99,15
1-May-99,19
2-May-99,"2	"
2-May-99,"2	"
2-May-99,17
3-May-99,"7	"
3-May-99,11
3-May-99,17
3-May-99,17
3-May-99,24
3-May-99,27
4-May-99,"3	"
4-May-99,"6	"
4-May-99,19
5-May-99,25
6-May-99,13
6-May-99,19
6-May-99,20
8-May-99,"1	"
8-May-99,"2	"
8-May-99,"4	"
8-May-99,13
8-May-99,18
8-May-99,19
8-May-99,25
9-May-99,"1	"
9-May-99,"2	"
9-May-99,"4	"
9-May-99,11
9-May-99,15
9-May-99,17
9-May-99,19
9-May-99,22
9-May-99,25
10-May-99,"2	"
10-May-99,"9	"
10-May-99,11
10-May-99,13
10-May-99,19
10-May-99,20
10-May-99,21
10-May-99,25
10-May-99,28
11-May-99,"1	"
11-May-99,"3	"
11-May-99,"8	"
11-May-99,11
11-May-99,13
11-May-99,15
11-May-99,19
11-May-99,22
11-May-99,24
12-May-99,10
12-May-99,11
12-May-99,12
12-May-99,15
12-May-99,18
12-May-99,19
12-May-99,25
13-May-99,"1	"
13-May-99,"2	"
13-May-99,11
13-May-99,13
13-May-99,19
13-May-99,20
13-May-99,22
13-May-99,25
14-May-99,"2	"
14-May-99,11
14-May-99,13
14-May-99,17
14-May-99,19
14-May-99,20
15-May-99,"1	"
15-May-99,"2	"
15-May-99,11
15-May-99,17
15-May-99,20
15-May-99,22
